ticker,rule,buy_hold_total_return,strategy_total_return,strategy_net_total_return,buy_hold_cagr,strategy_cagr,strategy_net_cagr,buy_hold_volatility,strategy_volatility,strategy_net_volatility,buy_hold_sharpe,strategy_sharpe,strategy_net_sharpe,buy_hold_max_drawdown,strategy_max_drawdown,strategy_net_max_drawdown,strategy_total_turnover,strategy_net_total_turnover,net_cagr_minus_buy_hold,net_sharpe_minus_buy_hold,net_drawdown_improvement,net_volatility_reduction,volatility_threshold,n_observations,average_regime_persistence,rank_sharpe,rank_drawdown,rank_volatility,rank_cagr,rank_turnover,combined_rank
ARKK,volatility_target,3.2671897721707754,1.750864645752789,1.2951318179935734,0.1362262481532881,0.09315535728558277,0.07586586664762862,0.38677028925693596,0.26880330137841524,0.2687809170953688,0.3316258730631564,0.33135135264378657,0.2720646819343233,-0.8091410758425104,-0.6588704956298033,-0.6688282299911785,362.25,362.25,-0.06036038150565948,-0.05956119112883307,0.14031284585133186,0.11798937216156719,0.30568247824530603,2863,0.4918646921013148,2.0,2.0,6.0,8.0,1.0,18.5
XLE,volatility_target,1.176985151219868,0.5500029371681912,0.29208452607172997,0.07087280444819233,0.03932885482479831,0.02281191425818485,0.2935434942942433,0.20119762663949572,0.2011764810168112,0.2422978607532505,0.1917277732451114,0.11211853851696726,-0.6681303694983052,-0.5521796416846168,-0.5868679952040046,364.0,364.0,-0.04806089019000748,-0.13017932223628323,0.08126237429430061,0.0923670132774321,0.21586970514887832,2863,0.48807995753117706,3.0,10.0,10.0,2.0,2.0,26.0
XLF,volatility_target,2.5023306562497414,1.1050748841248494,0.7414638295665277,0.11664230222122152,0.06771136981773851,0.05003840741085641,0.2178087763173276,0.14951422111605422,0.14952154462166065,0.5129745092437216,0.43820213585291673,0.3265532208788599,-0.4286254335699904,-0.3252665116293967,-0.32846389589976854,379.25,379.25,-0.0666038948103651,-0.18642128836486166,0.10016153767022185,0.06828723169566694,0.15695522399760448,2863,0.46704117776029025,7.0,6.0,18.0,11.0,5.0,44.5
SPY,volatility_target,3.463077225402486,1.742174460149723,1.2702187767266002,0.1407238824383117,0.09285095540910837,0.07483283017519904,0.17697090696836124,0.11841501357545609,0.11844118947307058,0.7501028556182666,0.7498190843289425,0.6092909315962879,-0.33717251235755297,-0.250112353742598,-0.2514235095276185,377.75,377.75,-0.06589105226311265,-0.14081192402197873,0.08574900282993447,0.05852971749529065,0.12246736644856651,2863,0.46877261115761987,4.0,9.0,23.0,10.0,3.5,47.75
BTC-USD,volatility_target,275.98598123110287,56.25151105404912,42.21570781730729,0.40452995947273185,0.2769534061529646,0.25544342188659397,0.5510382464393121,0.39515783007951305,0.3951824743677764,0.6242763107494966,0.6186821336078199,0.5756551698194996,-0.8339900882218975,-0.716813640291979,-0.7251143492362594,562.5,562.5,-0.14908653758613788,-0.04862114092999703,0.10887573898563807,0.15585577207153567,0.4401436178177377,4172,0.4586318632407015,1.0,4.0,3.0,35.0,10.0,48.0
ARKK,defensive_overlay,3.267189772170779,1.0373734788356455,0.4200065267818376,0.1362262481532881,0.06464363613336332,0.0313463329582635,0.3867702813373962,0.29319980536638574,0.2931987463530824,0.3316258798535551,0.21364314730048067,0.1052701229646446,-0.8091410758425108,-0.6713921663289624,-0.6956692678148717,722.0,722.0,-0.1048799151950246,-0.22635575688891046,0.11347180802763912,0.09357153498431381,0.30568270388209146,2863,0.4918646921013148,11.0,3.0,9.0,23.0,13.0,52.5
XLE,defensive_overlay,1.1769851512198946,0.5518895708750315,0.08692028049961364,0.07087280444819344,0.03944014230842785,0.007363254144854059,0.2935435285469566,0.21651416405016918,0.21645480381865898,0.2422977850094977,0.17865918227926292,0.03389288480313142,-0.6681303466125135,-0.5582874363289927,-0.6133898446254994,712.25,712.25,-0.06350955030333938,-0.20840490020636626,0.05474050198701408,0.07708872472829761,0.21587024984330552,2863,0.48807995753117706,9.0,15.0,16.0,9.0,11.0,54.5
IWM,volatility_target,1.9618927049376333,0.7429384705582998,0.4397182936356392,0.10029040107164122,0.05011664015918682,0.03259856676874362,0.22564939743250928,0.16033812146110366,0.16036019041662838,0.42710892189284094,0.30498825494602744,0.20004033043422836,-0.41133273464207987,-0.3130627248189125,-0.3149833589862814,382.25,382.25,-0.0676918343028976,-0.22706859145861258,0.09634937565579849,0.0652892070158809,0.18748567026518093,2863,0.4649723747634111,12.0,8.0,20.0,12.0,7.0,55.5
QQQ,volatility_target,6.877408188402518,2.7534160431237966,2.1074155571783835,0.19922111869964243,0.12346820445101847,0.10494528446460927,0.21974891849531128,0.1520105425788251,0.15204696181077387,0.8301979797560539,0.765871299605949,0.6563486454028619,-0.3511873120339696,-0.27653483005425183,-0.28935187634706105,377.75,377.75,-0.09427583423503316,-0.17384933435319205,0.061835435686908524,0.0677019566845374,0.16755193880084363,2863,0.4678708622123815,6.0,13.0,19.0,18.0,3.5,57.75
EEM,volatility_target,1.3016960502516257,0.6093593918570277,0.33004291224541626,0.07613635458264945,0.04277235616562525,0.02542192791415565,0.2091904983253922,0.14979325814308178,0.14980435509319148,0.3582487117388861,0.2796046631610045,0.16757967326725456,-0.3982232441083037,-0.34271927536547175,-0.3944656994025928,381.25,381.25,-0.050714426668493795,-0.19066903847163155,0.00375754470571088,0.059386143232200705,0.17002092116278103,2863,0.46542820515800154,8.0,25.0,22.0,3.0,6.0,61.0
